,0,1,2,3,4,5,6,7,8,9,name
46,81,76,115,163,123,70,71,47,204,xvc
46,81,76,115,163,123,70,71,47,204,xvc
42,82,81,113,158,122,67,76,46,209,xvc
43,78,84,114,158,119,68,73,48,210,xvc
43,78,84,114,158,119,68,73,48,210,xvc
45,80,78,107,165,124,74,74,44,204,xvc
42,84,78,108,161,121,70,74,49,207,xvc
42,84,78,108,161,121,70,74,49,207,xvc
43,84,75,102,168,126,68,71,46,212,xvc
46,82,77,102,165,122,71,75,46,209,xvc
41,85,67,108,177,122,70,76,44,206,dgfh
46,84,71,103,164,121,69,78,45,214,dgfh
42,80,71,107,176,125,70,73,44,208,dgfh
42,88,69,104,169,124,68,77,46,209,dgfh
42,84,71,105,171,119,72,75,46,211,dgfh
41,87,69,106,169,121,70,77,44,211,dgfh
41,87,69,106,169,121,70,77,44,211,dgfh
41,87,69,106,169,121,70,77,44,211,dgfh
41,87,69,106,169,121,70,77,44,211,dgfh
42,82,73,105,171,123,72,75,44,210,dgfh
45,83,66,103,166,123,67,73,47,220,aaaaaaaaaaa
42,83,75,105,157,122,72,74,46,218,aaaaaaaaaaa
42,83,75,105,157,122,72,74,46,218,aaaaaaaaaaa
41,79,81,107,164,125,69,74,45,209,aaaaaaaaaaa
40,84,79,105,162,127,72,74,46,208,aaaaaaaaaaa
40,84,79,105,162,127,72,74,46,208,aaaaaaaaaaa
40,84,79,105,162,127,72,74,46,208,aaaaaaaaaaa
40,84,79,105,162,127,72,74,46,208,aaaaaaaaaaa
40,84,79,105,162,127,72,74,46,208,aaaaaaaaaaa
40,84,79,105,162,127,72,74,46,208,aaaaaaaaaaa
